zipcode,near_ATTRAC,near_museum,near_Performing_arts
3034,2.7,1.9,1.7
3035,2.1,1.4,1.2
3036,2.6,0.9,1.5
3037,2.3,1.1,1.1
3038,1.8,1.7,0.9
3039,1.2,2.2,1.0
3041,0.9,2.8,2.8
3042,1.6,3.9,3.3
3043,2.5,4.0,3.6
3044,2.9,2.7,2.1
3045,3.2,3.0,3.3
3046,5.6,6.1,6.2
3047,5.6,5.5,5.2
3051,2.1,0.7,2.2
3052,1.5,1.8,3.2
3053,1.3,2.7,4.1
3054,1.0,2.5,4.2
3055,1.6,3.0,4.7
3056,0.9,3.4,4.7
3059,5.7,10.4,7.3
3061,3.1,1.5,1.6
3062,3.9,1.0,2.6
3063,4.2,1.0,2.4
3064,5.9,3.3,3.8
3065,3.9,3.4,3.2
3066,2.5,4.1,3.4
3067,1.3,4.9,3.7
3068,2.2,6.7,5.1
3069,2.8,7.2,5.7
3071,4.1,1.7,1.4
3072,4.3,1.7,0.9
3073,4.6,2.0,1.3
3074,4.3,1.6,2.1
3075,3.9,1.9,1.4
3076,3.2,3.0,0.8
3077,2.1,3.3,2.5
3078,1.5,2.3,0.9
3079,1.5,2.8,1.4
3081,3.9,2.6,0.8
3082,2.7,3.4,1.8
3083,3.1,3.1,0.8
3084,1.8,4.5,2.6
3085,3.0,3.9,2.2
3086,1.5,5.0,2.7
3087,3.5,3.6,2.2
3088,0.6,5.7,3.9
3089,4.5,8.6,6.8
3111,4.6,0.5,0.5
3112,3.7,1.2,0.7
3113,4.3,0.9,0.8
3114,4.8,1.6,1.8
3115,3.2,2.1,2.3
3116,4.0,1.2,1.4
3117,3.5,1.0,1.2
3118,3.9,1.3,1.5
3119,4.5,1.2,0.8
3121,5.4,2.9,3.2
3122,4.8,3.0,3.2
3123,5.9,4.2,4.4
3124,6.2,4.3,4.1
3125,4.4,3.2,2.7
3131,1.1,1.0,0.9
3132,2.6,2.5,2.5
3133,0.8,0.8,0.8
